airline_sentiment,airline_sentiment_confidence,negativereason,negativereason_confidence,airline
negative,1.0,Customer Service Issue,1.0,United
negative,1.0,Customer Service Issue,1.0,United
negative,1.0,Bad Flight,1.0,United
negative,1.0,Customer Service Issue,0.6926,United
negative,1.0,Damaged Luggage,0.3476,United
neutral,0.6688,no_complaint,0.0,United
negative,1.0,Customer Service Issue,1.0,United
neutral,0.6931,no_complaint,0.0,United
negative,1.0,Customer Service Issue,1.0,United
negative,1.0,Late Flight,0.6519,United
negative,0.66,Late Flight,0.66,United
neutral,0.7223,no_complaint,0.0,United
positive,0.6996,no_complaint,1.0,United
negative,1.0,Customer Service Issue,1.0,United
neutral,1.0,no_complaint,1.0,United
negative,1.0,Can't Tell,0.6584,United
neutral,0.6729,no_complaint,0.0,United
negative,1.0,Customer Service Issue,1.0,United
negative,1.0,Customer Service Issue,0.6828,United
negative,1.0,Can't Tell,0.6818,United
neutral,0.6563,no_complaint,0.0,United
positive,1.0,no_complaint,1.0,United
negative,0.6915,Can't Tell,0.6915,United
positive,1.0,no_complaint,1.0,United
positive,1.0,no_complaint,1.0,United
neutral,1.0,no_complaint,1.0,United
neutral,0.6372,no_complaint,0.0,United
negative,1.0,Damaged Luggage,1.0,United
neutral,1.0,no_complaint,1.0,United
negative,1.0,Late Flight,1.0,United
negative,1.0,Late Flight,0.3419,United
negative,1.0,Late Flight,0.3612,United
negative,1.0,Can't Tell,1.0,United
negative,0.6484,Bad Flight,0.3407,United
positive,1.0,no_complaint,1.0,United
negative,1.0,Can't Tell,0.3518,United
neutral,0.6268,no_complaint,0.0,United
neutral,0.6466,no_complaint,0.0,United
negative,1.0,Bad Flight,0.6826,United
neutral,1.0,no_complaint,1.0,United
positive,1.0,no_complaint,1.0,United
negative,1.0,Can't Tell,0.6553,United
negative,1.0,Customer Service Issue,1.0,United
negative,1.0,Late Flight,0.6559,United
negative,0.6566,Late Flight,0.6566,United
negative,1.0,Late Flight,0.6285,United
neutral,0.6837,no_complaint,1.0,United
negative,1.0,Late Flight,1.0,United
negative,0.6369,Bad Flight,0.6369,United
positive,0.6857,no_complaint,0.0,United
negative,1.0,Customer Service Issue,1.0,United
negative,1.0,Customer Service Issue,0.6826,United
positive,1.0,no_complaint,1.0,United
neutral,0.6863,no_complaint,0.0,United
negative,1.0,Lost Luggage,1.0,United
negative,1.0,Customer Service Issue,0.7027,United
positive,1.0,no_complaint,1.0,United
positive,0.6307,no_complaint,0.0,United
negative,1.0,Customer Service Issue,1.0,United
negative,1.0,Lost Luggage,1.0,United
negative,1.0,Customer Service Issue,0.6668,United
neutral,0.617,no_complaint,0.0,United
negative,1.0,Can't Tell,0.3444,United
positive,1.0,no_complaint,1.0,United
positive,0.6559999999999999,no_complaint,1.0,United
negative,1.0,Late Flight,1.0,United
negative,1.0,Flight Booking Problems,0.6444,United
negative,1.0,Can't Tell,0.6985,United
neutral,0.6771,no_complaint,0.0,United
neutral,0.6327,no_complaint,0.0,United
negative,1.0,Customer Service Issue,1.0,United
negative,1.0,Can't Tell,0.3568,United
negative,0.6859999999999999,Flight Attendant Complaints,0.6859999999999999,United
negative,0.6695,Can't Tell,0.3356,United
negative,1.0,Late Flight,1.0,United
negative,1.0,Customer Service Issue,0.6667,United
negative,1.0,Customer Service Issue,1.0,United
positive,1.0,no_complaint,1.0,United
negative,1.0,Customer Service Issue,1.0,United
negative,1.0,Flight Booking Problems,0.6886,United
negative,1.0,Late Flight,1.0,United
negative,1.0,Late Flight,1.0,United
negative,1.0,Damaged Luggage,1.0,United
negative,1.0,Late Flight,1.0,United
negative,1.0,Customer Service Issue,0.6522,United
negative,0.6537,Can't Tell,0.6537,United
negative,1.0,Customer Service Issue,1.0,United
negative,1.0,Flight Attendant Complaints,0.6906,United
negative,0.6317,Flight Booking Problems,0.6317,United
neutral,1.0,no_complaint,1.0,United
positive,1.0,no_complaint,1.0,United
negative,1.0,Can't Tell,0.6392,United
negative,1.0,Late Flight,1.0,United
negative,1.0,Lost Luggage,0.6612,United
negative,0.6673,Late Flight,0.3345,United
negative,1.0,Customer Service Issue,1.0,United
negative,1.0,Bad Flight,0.6616,United
negative,1.0,Customer Service Issue,1.0,United
negative,1.0,Customer Service Issue,0.7055,United
negative,1.0,Can't Tell,0.696,United
negative,1.0,Flight Booking Problems,1.0,United
negative,1.0,Lost Luggage,1.0,United
negative,0.6782,Late Flight,0.3678,United
negative,0.6907,Can't Tell,0.6907,United
negative,1.0,Late Flight,0.6655,United
negative,1.0,Late Flight,1.0,United
negative,1.0,Damaged Luggage,0.6367,United
negative,1.0,Customer Service Issue,1.0,United
negative,0.6736,Customer Service Issue,0.3539,United
negative,1.0,Cancelled Flight,1.0,United
negative,0.6808,Customer Service Issue,0.3559,United
positive,1.0,no_complaint,1.0,United
positive,0.6661,no_complaint,1.0,United
neutral,0.6954,no_complaint,0.0,United
negative,1.0,Late Flight,1.0,United
negative,1.0,Customer Service Issue,0.3389999999999999,United
neutral,1.0,no_complaint,1.0,United
neutral,0.6596,no_complaint,0.0,United
negative,1.0,Customer Service Issue,0.6929,United
negative,1.0,Flight Booking Problems,0.6701,United
negative,1.0,Customer Service Issue,0.6882,United
negative,0.6484,Flight Booking Problems,0.3297,United
neutral,0.6632,no_complaint,0.0,United
negative,1.0,Customer Service Issue,1.0,United
neutral,1.0,no_complaint,1.0,United
negative,1.0,Late Flight,1.0,United
negative,1.0,Flight Booking Problems,0.3446,United
negative,1.0,Customer Service Issue,0.6317,United
negative,1.0,Customer Service Issue,0.6359,United
negative,0.6957,Customer Service Issue,0.6957,United
neutral,0.6722,no_complaint,1.0,United
negative,1.0,Can't Tell,0.6553,United
negative,1.0,Bad Flight,1.0,United
positive,0.6471,no_complaint,1.0,United
negative,1.0,Bad Flight,0.3544,United
neutral,1.0,no_complaint,1.0,United
positive,1.0,no_complaint,1.0,United
neutral,1.0,no_complaint,1.0,United
neutral,0.7083,no_complaint,0.0,United
negative,1.0,Cancelled Flight,0.6442,United
neutral,1.0,no_complaint,1.0,United
negative,1.0,Customer Service Issue,0.6473,United
neutral,1.0,no_complaint,1.0,United
negative,0.66,Flight Booking Problems,0.33,United
negative,1.0,Late Flight,0.6815,United
negative,1.0,Customer Service Issue,1.0,United
negative,1.0,Customer Service Issue,1.0,United
negative,0.6714,Late Flight,0.6714,United
neutral,0.6801,no_complaint,0.0,United
neutral,0.6663,no_complaint,1.0,United
neutral,1.0,no_complaint,1.0,United
negative,1.0,Customer Service Issue,0.6432,United
neutral,0.3666,no_complaint,0.0,United
neutral,1.0,no_complaint,1.0,United
positive,0.6479,no_complaint,0.0,United
negative,1.0,Lost Luggage,1.0,United
neutral,1.0,no_complaint,1.0,United
neutral,1.0,no_complaint,1.0,United
positive,0.6531,no_complaint,0.0,United
negative,1.0,Customer Service Issue,0.6559,United
negative,1.0,Customer Service Issue,1.0,United
negative,1.0,Can't Tell,0.6542,United
negative,1.0,Can't Tell,0.6406,United
positive,1.0,no_complaint,1.0,United
negative,1.0,Flight Booking Problems,1.0,United
neutral,0.6767,no_complaint,0.0,United
negative,1.0,Late Flight,0.6998,United
negative,1.0,Late Flight,0.667,United
positive,1.0,no_complaint,1.0,United
positive,0.6635,no_complaint,0.0,United
neutral,1.0,no_complaint,1.0,United
negative,1.0,Customer Service Issue,1.0,United
neutral,0.6464,no_complaint,0.0,United
negative,1.0,Can't Tell,0.645,United
negative,1.0,Late Flight,1.0,United
negative,1.0,Cancelled Flight,0.6598,United
neutral,1.0,no_complaint,1.0,United
negative,1.0,Can't Tell,0.3333,United
negative,1.0,Late Flight,0.6594,United
negative,1.0,Lost Luggage,1.0,United
negative,1.0,Cancelled Flight,1.0,United
neutral,0.6957,no_complaint,1.0,United
negative,1.0,Bad Flight,0.6296,United
positive,1.0,no_complaint,1.0,United
neutral,0.6523,no_complaint,0.0,United
negative,1.0,Customer Service Issue,1.0,United
negative,1.0,Customer Service Issue,1.0,United
negative,1.0,Customer Service Issue,1.0,United
negative,1.0,Customer Service Issue,0.6544,United
neutral,1.0,no_complaint,1.0,United
neutral,1.0,no_complaint,1.0,United
negative,1.0,Cancelled Flight,1.0,United
negative,0.6667,Customer Service Issue,0.3542,United
negative,1.0,Late Flight,1.0,United
negative,1.0,Late Flight,1.0,United
negative,1.0,Lost Luggage,1.0,United
negative,0.6641,Customer Service Issue,0.6641,United
positive,0.6571,no_complaint,0.0,United
negative,1.0,Lost Luggage,1.0,United
positive,1.0,no_complaint,1.0,United
negative,0.6544,Customer Service Issue,0.6544,United
negative,1.0,Can't Tell,0.3423,United
positive,0.6629999999999999,no_complaint,1.0,United
negative,1.0,Cancelled Flight,0.6684,United
negative,1.0,Cancelled Flight,0.6786,United
negative,1.0,Cancelled Flight,1.0,United
negative,1.0,Can't Tell,1.0,United
positive,0.6522,no_complaint,1.0,United
neutral,0.6598,no_complaint,0.0,United
negative,1.0,Customer Service Issue,0.6882,United
neutral,1.0,no_complaint,1.0,United
negative,1.0,Customer Service Issue,0.7007,United
negative,1.0,Late Flight,0.6652,United
negative,1.0,Flight Attendant Complaints,0.6789,United
positive,1.0,no_complaint,1.0,United
negative,1.0,Late Flight,1.0,United
negative,1.0,Lost Luggage,1.0,United
negative,0.6533,Lost Luggage,0.6533,United
negative,1.0,Cancelled Flight,1.0,United
negative,1.0,Flight Attendant Complaints,1.0,United
negative,0.6691,Flight Attendant Complaints,0.3523,United
negative,1.0,Flight Attendant Complaints,1.0,United
negative,0.6703,Flight Booking Problems,0.3626,United
negative,1.0,Flight Booking Problems,0.3571,United
negative,1.0,Bad Flight,0.6481,United
negative,0.6633,Late Flight,0.6633,United
neutral,0.6596,no_complaint,0.0,United
negative,0.65,Customer Service Issue,0.65,United
negative,1.0,Late Flight,0.7139,United
negative,1.0,Late Flight,0.6489,United
negative,0.6526,Late Flight,0.3579,United
negative,1.0,Can't Tell,0.7077,United
negative,1.0,Customer Service Issue,0.3516,United
negative,1.0,Lost Luggage,0.6901,United
neutral,0.6906,no_complaint,0.0,United
negative,1.0,Customer Service Issue,0.6806,United
negative,1.0,Flight Attendant Complaints,0.6404,United
negative,0.6642,Can't Tell,0.3494,United
negative,1.0,Customer Service Issue,0.6701,United
negative,1.0,Flight Attendant Complaints,0.3437,United
positive,1.0,no_complaint,1.0,United
negative,1.0,Lost Luggage,1.0,United
negative,1.0,Bad Flight,0.6524,United
positive,0.6697,no_complaint,0.0,United
neutral,1.0,no_complaint,1.0,United
positive,0.6526,no_complaint,1.0,United
negative,1.0,Customer Service Issue,0.6725,United
negative,1.0,Late Flight,0.6667,United
negative,1.0,Flight Booking Problems,0.3429,United
neutral,0.6566,no_complaint,0.0,United
negative,1.0,Lost Luggage,0.6716,United
negative,1.0,Bad Flight,1.0,United
positive,0.6792,no_complaint,1.0,United
negative,1.0,Late Flight,1.0,United
neutral,0.6452,no_complaint,0.0,United
negative,1.0,Late Flight,1.0,United
negative,1.0,Bad Flight,1.0,United
positive,1.0,no_complaint,1.0,United
negative,1.0,Late Flight,1.0,United
negative,1.0,Late Flight,0.7055,United
negative,1.0,Lost Luggage,1.0,United
negative,1.0,Customer Service Issue,0.6854,United
negative,1.0,Customer Service Issue,1.0,United
neutral,1.0,no_complaint,1.0,United
negative,0.6756,Flight Booking Problems,0.6756,United
neutral,0.6756,no_complaint,0.0,United
negative,0.6581,Customer Service Issue,0.6581,United
neutral,0.6752,no_complaint,0.0,United
neutral,1.0,no_complaint,1.0,United
positive,0.6632,no_complaint,0.0,United
neutral,0.6872,no_complaint,1.0,United
negative,1.0,Customer Service Issue,0.3654,United
negative,1.0,Late Flight,0.7206,United
neutral,0.6631,no_complaint,0.0,United
neutral,0.6637,no_complaint,0.0,United
negative,1.0,Damaged Luggage,1.0,United
neutral,0.6806,no_complaint,1.0,United
negative,1.0,Cancelled Flight,1.0,United
neutral,0.6577,no_complaint,1.0,United
positive,1.0,no_complaint,1.0,United
negative,1.0,Cancelled Flight,1.0,United
neutral,1.0,no_complaint,1.0,United
negative,1.0,Can't Tell,1.0,United
negative,1.0,Cancelled Flight,0.6875,United
positive,0.7097,no_complaint,0.0,United
positive,1.0,no_complaint,1.0,United
positive,1.0,no_complaint,1.0,United
negative,1.0,Flight Attendant Complaints,1.0,United
negative,1.0,Flight Attendant Complaints,0.7033,United
negative,1.0,Flight Attendant Complaints,0.6812,United
negative,1.0,Customer Service Issue,0.3463,United
negative,1.0,Late Flight,0.6806,United
neutral,0.6995,no_complaint,0.0,United
negative,1.0,Late Flight,0.3487,United
negative,0.3456,Can't Tell,0.3456,United
neutral,0.6919,no_complaint,0.0,United
positive,1.0,no_complaint,1.0,United
neutral,0.6702,no_complaint,1.0,United
negative,1.0,Late Flight,1.0,United
negative,0.7109,Can't Tell,0.3609,United
negative,1.0,Customer Service Issue,1.0,United
negative,1.0,Can't Tell,1.0,United
negative,0.6496,Bad Flight,0.3416,United
negative,0.6579,Customer Service Issue,0.3344,United
negative,1.0,Customer Service Issue,0.6701,United
negative,1.0,Can't Tell,0.3587,United
negative,1.0,Bad Flight,1.0,United
negative,1.0,longlines,0.3469,United
negative,1.0,Flight Attendant Complaints,1.0,United
neutral,1.0,no_complaint,1.0,United
negative,1.0,Late Flight,0.7073,United
positive,1.0,no_complaint,1.0,United
neutral,0.6579,no_complaint,0.0,United
negative,1.0,Late Flight,0.7098,United
negative,1.0,Lost Luggage,1.0,United
neutral,1.0,no_complaint,1.0,United
negative,1.0,Customer Service Issue,0.6752,United
negative,1.0,Bad Flight,0.3611,United
negative,0.6337,Flight Booking Problems,0.6337,United
negative,1.0,Customer Service Issue,0.6797,United
negative,1.0,Customer Service Issue,0.3545,United
negative,1.0,Late Flight,1.0,United
negative,1.0,Bad Flight,0.6707,United
negative,1.0,Late Flight,1.0,United
negative,1.0,Late Flight,0.346,United
negative,1.0,longlines,0.6624,Southwest
negative,0.6361,Cancelled Flight,0.6361,Southwest
negative,1.0,Customer Service Issue,1.0,Southwest
neutral,0.6443,no_complaint,1.0,Southwest
negative,1.0,Customer Service Issue,1.0,Southwest
negative,1.0,Customer Service Issue,1.0,Southwest
negative,1.0,Customer Service Issue,0.6761,Southwest
negative,1.0,Bad Flight,0.6784,Southwest
negative,1.0,Late Flight,1.0,Southwest
positive,1.0,no_complaint,1.0,Southwest
positive,1.0,no_complaint,1.0,Southwest
neutral,1.0,no_complaint,1.0,Southwest
negative,1.0,Customer Service Issue,0.6667,Southwest
neutral,0.6825,no_complaint,1.0,Southwest
negative,1.0,longlines,0.3438,Southwest
positive,0.6809,no_complaint,1.0,Southwest
neutral,0.6681,no_complaint,0.0,Southwest
neutral,1.0,no_complaint,1.0,Southwest
neutral,1.0,no_complaint,1.0,Southwest
neutral,0.6787,no_complaint,0.0,Southwest
negative,0.6374,longlines,0.3297,Southwest
positive,1.0,no_complaint,1.0,Southwest
negative,1.0,Customer Service Issue,0.6465,Southwest
neutral,1.0,no_complaint,1.0,Southwest
positive,0.7004,no_complaint,1.0,Southwest
neutral,0.7015,no_complaint,0.0,Southwest
positive,1.0,no_complaint,1.0,Southwest
negative,1.0,Flight Attendant Complaints,0.3723,Southwest
neutral,0.3511,no_complaint,0.0,Southwest
neutral,1.0,no_complaint,1.0,Southwest
negative,1.0,Late Flight,1.0,Southwest
positive,1.0,no_complaint,1.0,Southwest
negative,1.0,Bad Flight,0.7020000000000001,Southwest
neutral,1.0,no_complaint,1.0,Southwest
negative,0.6477,Lost Luggage,0.3295,Southwest
positive,0.6456,no_complaint,0.0,Southwest
negative,1.0,Lost Luggage,1.0,Southwest
negative,0.6526,Can't Tell,0.3684,Southwest
neutral,1.0,no_complaint,1.0,Southwest
negative,1.0,Bad Flight,0.3525,Southwest
neutral,1.0,no_complaint,1.0,Southwest
negative,1.0,Customer Service Issue,0.6691,Southwest
negative,0.627,Customer Service Issue,0.627,Southwest
neutral,1.0,no_complaint,1.0,Southwest
positive,1.0,no_complaint,1.0,Southwest
positive,1.0,no_complaint,1.0,Southwest
positive,1.0,no_complaint,1.0,Southwest
negative,1.0,Flight Booking Problems,0.6606,Southwest
negative,1.0,Damaged Luggage,1.0,Southwest
positive,0.6729999999999999,no_complaint,0.0,Southwest
neutral,0.6655,no_complaint,0.0,Southwest
positive,0.345,no_complaint,0.0,Southwest
positive,1.0,no_complaint,1.0,Southwest
negative,1.0,Lost Luggage,0.6736,Southwest
negative,1.0,Customer Service Issue,1.0,Southwest
neutral,0.6699,no_complaint,0.0,Southwest
positive,1.0,no_complaint,1.0,Southwest
negative,0.7,Flight Attendant Complaints,0.3667,Southwest
negative,1.0,Late Flight,1.0,Southwest
negative,1.0,Cancelled Flight,1.0,Southwest
negative,0.6508,Flight Booking Problems,0.3601,Southwest
negative,1.0,Customer Service Issue,1.0,Southwest
negative,0.7024,Flight Booking Problems,0.7024,Southwest
negative,1.0,Customer Service Issue,0.6411,Southwest
neutral,0.6746,no_complaint,1.0,Southwest
negative,1.0,Bad Flight,0.3542,Southwest
negative,1.0,Can't Tell,1.0,Southwest
negative,0.6509999999999999,Customer Service Issue,0.6509999999999999,Southwest
negative,1.0,Late Flight,1.0,Southwest
neutral,1.0,no_complaint,1.0,Southwest
neutral,0.6806,no_complaint,0.0,Southwest
negative,1.0,Bad Flight,0.6481,Southwest
neutral,0.6542,no_complaint,1.0,Southwest
negative,0.69,Can't Tell,0.69,Southwest
negative,1.0,Bad Flight,0.3485,Southwest
negative,1.0,Flight Booking Problems,1.0,Southwest
neutral,1.0,no_complaint,1.0,Southwest
negative,1.0,Customer Service Issue,1.0,Southwest
neutral,0.67,no_complaint,0.0,Southwest
negative,1.0,Flight Attendant Complaints,0.6764,Southwest
negative,1.0,Late Flight,1.0,Southwest
positive,1.0,no_complaint,1.0,Southwest
negative,0.6837,Customer Service Issue,0.3673,Southwest
negative,1.0,Flight Booking Problems,1.0,Southwest
negative,1.0,Bad Flight,1.0,Southwest
negative,1.0,Flight Attendant Complaints,0.6970000000000001,Southwest
negative,1.0,Can't Tell,0.3378,Southwest
negative,1.0,Cancelled Flight,1.0,Southwest
negative,1.0,Can't Tell,0.6917,Southwest
negative,1.0,Customer Service Issue,0.3656,Southwest
negative,1.0,Can't Tell,0.3426,Southwest
negative,1.0,Bad Flight,0.6654,Southwest
negative,0.708,Late Flight,0.708,Southwest
negative,1.0,Cancelled Flight,0.6406,Southwest
negative,1.0,Customer Service Issue,1.0,Southwest
neutral,0.6475,no_complaint,1.0,Southwest
neutral,1.0,no_complaint,1.0,Southwest
neutral,0.6818,no_complaint,0.0,Southwest
neutral,0.6382,no_complaint,0.0,Southwest
negative,1.0,Customer Service Issue,1.0,Southwest
negative,1.0,Customer Service Issue,0.6382,Southwest
neutral,1.0,no_complaint,1.0,Southwest
negative,1.0,Customer Service Issue,0.6526,Southwest
negative,1.0,Customer Service Issue,0.6224,Southwest
negative,0.6619,Late Flight,0.6619,Southwest
negative,1.0,Customer Service Issue,0.3535,Southwest
neutral,0.6489,no_complaint,0.0,Southwest
neutral,1.0,no_complaint,1.0,Southwest
negative,1.0,Late Flight,0.3505,Southwest
negative,1.0,Customer Service Issue,1.0,Southwest
negative,1.0,longlines,0.6835,Southwest
positive,0.6771,no_complaint,0.0,Southwest
negative,1.0,Customer Service Issue,1.0,Southwest
positive,1.0,no_complaint,1.0,Southwest
negative,1.0,Late Flight,1.0,Southwest
negative,1.0,Customer Service Issue,0.6714,Southwest
neutral,1.0,no_complaint,1.0,Southwest
neutral,1.0,no_complaint,1.0,Southwest
negative,1.0,Customer Service Issue,0.6679999999999999,Southwest
negative,1.0,Customer Service Issue,0.6364,Southwest
negative,1.0,Customer Service Issue,0.3533,Southwest
neutral,0.6765,no_complaint,1.0,Southwest
neutral,1.0,no_complaint,1.0,Southwest
positive,0.6647,no_complaint,1.0,Southwest
negative,1.0,Can't Tell,0.6909,Southwest
neutral,0.6907,no_complaint,0.0,Southwest
negative,1.0,Flight Booking Problems,0.6764,Southwest
positive,0.6634,no_complaint,1.0,Southwest
negative,0.6458,Customer Service Issue,0.6458,Southwest
positive,0.6523,no_complaint,1.0,Southwest
neutral,0.6396,no_complaint,0.0,Southwest
negative,1.0,Late Flight,0.6743,Southwest
negative,0.6436,Flight Booking Problems,0.6436,Southwest
negative,1.0,Can't Tell,0.3466,Southwest
neutral,1.0,no_complaint,1.0,Southwest
positive,1.0,no_complaint,1.0,Southwest
positive,0.6813,no_complaint,0.0,Southwest
neutral,0.6667,no_complaint,0.0,Southwest
positive,1.0,no_complaint,1.0,Southwest
positive,1.0,no_complaint,1.0,Southwest
negative,1.0,Cancelled Flight,1.0,Southwest
neutral,0.6374,no_complaint,0.0,Southwest
negative,1.0,Customer Service Issue,0.6667,Southwest
negative,1.0,Customer Service Issue,1.0,Southwest
negative,1.0,Can't Tell,0.7029,Southwest
neutral,1.0,no_complaint,1.0,Southwest
neutral,1.0,no_complaint,1.0,Southwest
negative,0.6926,Can't Tell,0.3673,Southwest
negative,1.0,Customer Service Issue,1.0,Southwest
positive,1.0,no_complaint,1.0,Southwest
negative,1.0,Can't Tell,0.6651,Southwest
positive,1.0,no_complaint,1.0,Southwest
positive,0.6998,no_complaint,0.0,Southwest
negative,1.0,Bad Flight,0.3456,Southwest
neutral,1.0,no_complaint,1.0,Southwest
neutral,1.0,no_complaint,1.0,Southwest
negative,0.6843,Late Flight,0.6843,Southwest
negative,0.6746,Cancelled Flight,0.6746,Southwest
negative,0.3587,Flight Attendant Complaints,0.3587,Southwest
neutral,0.6559,no_complaint,0.0,Southwest
negative,1.0,Cancelled Flight,1.0,Southwest
negative,1.0,Cancelled Flight,1.0,Southwest
neutral,0.6743,no_complaint,0.0,Southwest
positive,0.6563,no_complaint,0.0,Southwest
negative,0.7125,Cancelled Flight,0.7125,Southwest
negative,1.0,Bad Flight,1.0,Southwest
neutral,1.0,no_complaint,1.0,Southwest
positive,0.3368,no_complaint,0.0,Southwest
negative,1.0,Customer Service Issue,0.6557,Southwest
negative,1.0,Lost Luggage,0.352,Southwest
negative,1.0,Can't Tell,0.6667,Southwest
negative,1.0,Customer Service Issue,1.0,Southwest
negative,1.0,Bad Flight,1.0,Southwest
positive,1.0,no_complaint,1.0,Southwest
negative,0.6932,Lost Luggage,0.6932,Southwest
negative,1.0,Customer Service Issue,0.6804,Southwest
negative,1.0,Customer Service Issue,0.6782,Southwest
negative,1.0,Cancelled Flight,1.0,Southwest
neutral,0.6563,no_complaint,0.0,Southwest
negative,0.6442,Can't Tell,0.6442,Southwest
neutral,1.0,no_complaint,1.0,Southwest
positive,0.6799,no_complaint,1.0,Southwest
neutral,1.0,no_complaint,1.0,Southwest
negative,1.0,Lost Luggage,1.0,Southwest
positive,1.0,no_complaint,1.0,Southwest
positive,1.0,no_complaint,1.0,Southwest
negative,1.0,Lost Luggage,0.672,Southwest
negative,1.0,Lost Luggage,1.0,Southwest
neutral,0.3569,no_complaint,0.0,Southwest
negative,1.0,Bad Flight,0.6565,Southwest
neutral,1.0,no_complaint,1.0,Southwest
negative,0.6703,Customer Service Issue,0.6703,Southwest
negative,0.6940000000000001,Late Flight,0.355,Southwest
neutral,0.6382,no_complaint,1.0,Southwest
positive,1.0,no_complaint,1.0,Southwest
negative,1.0,Can't Tell,0.6702,Southwest
positive,1.0,no_complaint,1.0,Southwest
positive,0.6744,no_complaint,0.0,Southwest
neutral,0.6515,no_complaint,0.0,Southwest
positive,0.9657,no_complaint,0.0,Southwest
negative,1.0,Customer Service Issue,0.6514,Southwest
neutral,1.0,no_complaint,1.0,Southwest
negative,0.3499,Can't Tell,0.3499,Southwest
neutral,1.0,no_complaint,1.0,Southwest
positive,1.0,no_complaint,1.0,Southwest
negative,1.0,Can't Tell,0.6622,Southwest
negative,1.0,Late Flight,1.0,Southwest
negative,1.0,Customer Service Issue,1.0,Southwest
negative,1.0,Customer Service Issue,1.0,Southwest
positive,1.0,no_complaint,1.0,Southwest
positive,0.6594,no_complaint,1.0,Southwest
positive,1.0,no_complaint,1.0,Southwest
positive,1.0,no_complaint,1.0,Southwest
neutral,0.6273,no_complaint,1.0,Southwest
neutral,1.0,no_complaint,1.0,Southwest
negative,1.0,Customer Service Issue,1.0,Southwest
neutral,0.6504,no_complaint,1.0,Southwest
positive,1.0,no_complaint,1.0,Southwest
negative,0.7104,Damaged Luggage,0.7104,Southwest
positive,1.0,no_complaint,1.0,Southwest
positive,1.0,no_complaint,1.0,Southwest
neutral,0.6696,no_complaint,0.0,Southwest
neutral,0.6664,no_complaint,0.0,Southwest
positive,1.0,no_complaint,1.0,Southwest
positive,1.0,no_complaint,1.0,Southwest
neutral,0.647,no_complaint,1.0,Southwest
positive,1.0,no_complaint,1.0,Southwest
negative,1.0,Lost Luggage,1.0,Southwest
neutral,0.6944,no_complaint,1.0,Southwest
neutral,0.6404,no_complaint,1.0,Southwest
positive,1.0,no_complaint,1.0,Southwest
negative,1.0,Customer Service Issue,1.0,Southwest
positive,1.0,no_complaint,1.0,Southwest
negative,1.0,Customer Service Issue,0.6526,Southwest
positive,0.7047,no_complaint,1.0,Southwest
negative,1.0,Customer Service Issue,1.0,Southwest
negative,1.0,Customer Service Issue,1.0,Southwest
negative,1.0,Cancelled Flight,1.0,Southwest
negative,1.0,Cancelled Flight,0.6447,Southwest
negative,0.66,Customer Service Issue,0.3529,Southwest
positive,1.0,no_complaint,1.0,Southwest
positive,0.6842,no_complaint,1.0,Southwest
negative,1.0,Late Flight,0.3673,Southwest
negative,0.3519,Can't Tell,0.3519,Southwest
negative,1.0,Bad Flight,0.3498,Southwest
neutral,1.0,no_complaint,1.0,Southwest
neutral,0.7273,no_complaint,0.0,Southwest
neutral,0.675,no_complaint,1.0,Southwest
neutral,0.6774,no_complaint,1.0,Southwest
positive,1.0,no_complaint,1.0,Southwest
positive,1.0,no_complaint,1.0,Southwest
positive,1.0,no_complaint,1.0,Southwest
positive,0.35,no_complaint,0.0,Southwest
neutral,0.6809,no_complaint,1.0,Southwest
negative,1.0,Late Flight,0.6771,Southwest
negative,1.0,Customer Service Issue,1.0,Southwest
negative,1.0,Cancelled Flight,1.0,Southwest
positive,1.0,no_complaint,1.0,Southwest
negative,0.6437,Can't Tell,0.3319,Southwest
neutral,0.6609999999999999,no_complaint,0.0,Southwest
positive,1.0,no_complaint,1.0,Southwest
negative,1.0,Bad Flight,0.3674,Southwest
neutral,1.0,no_complaint,1.0,Southwest
neutral,0.6804,no_complaint,0.0,Southwest
positive,0.7047,no_complaint,0.0,Southwest
neutral,1.0,no_complaint,1.0,Southwest
neutral,1.0,no_complaint,1.0,Southwest
neutral,1.0,no_complaint,1.0,Southwest
neutral,0.6838,no_complaint,1.0,Southwest
neutral,0.6874,no_complaint,1.0,Southwest
negative,1.0,Late Flight,1.0,Southwest
positive,1.0,no_complaint,1.0,Southwest
negative,1.0,Lost Luggage,1.0,Southwest
negative,1.0,Late Flight,1.0,Southwest
positive,1.0,no_complaint,1.0,Southwest
positive,1.0,no_complaint,1.0,Southwest
positive,1.0,no_complaint,1.0,Southwest
negative,1.0,Bad Flight,0.3429999999999999,Southwest
positive,1.0,no_complaint,1.0,Southwest
negative,0.6959,Can't Tell,0.3693,Southwest
neutral,0.6634,no_complaint,0.0,Southwest
positive,0.6481,no_complaint,1.0,Southwest
neutral,1.0,no_complaint,1.0,Southwest
positive,0.6413,no_complaint,1.0,Southwest
negative,0.6641,Can't Tell,0.6641,Southwest
negative,0.622,Can't Tell,0.3179,Southwest
neutral,0.6774,no_complaint,0.0,Southwest
negative,1.0,Late Flight,1.0,Southwest
positive,0.6718,no_complaint,0.0,Southwest
neutral,0.6907,no_complaint,0.0,Southwest
positive,0.6591,no_complaint,1.0,Southwest
negative,0.7053,Can't Tell,0.7053,Southwest
neutral,0.6832,no_complaint,1.0,Southwest
